Country/Territory,IMF (2025)[a][5],World Bank (2022–24)[6],United Nations (2023)[7]
Monaco,—N/a,288004,256581
Liechtenstein,231713,207973,207150
Luxembourg,146818,137516,128936
Bermuda,—N/a,142855,125842
Ireland,129132,107316,106106
Switzerland,111047,103670,100831
Iceland,98150,82704,80827
Cayman Islands,—N/a,97750,97583
Singapore,94481,90674,86616
Norway,91884,86810,87932
United States,89599,85810,80706
Isle of Man,—N/a,88329,—N/a
Denmark,76581,71852,68440
Macau,74921,73047,64158
Channel Islands,—N/a,74589,—N/a
Faroe Islands,—N/a,74120,—N/a
Netherlands,73174,68219,63803
Qatar,71441,76276,71499
Australia,65946,64408,67129
San Marino,65269,54265,58917
Sweden,62036,57723,55439
Austria,61694,56833,56042
Belgium,60418,55723,55049
Israel,60009,54177,55488
Germany,59925,55800,53528
Greenland,—N/a,58499,54374
Hong Kong,56844,54107,51166
United Kingdom,56661,52637,49224
Finland,56084,53189,52762
Canada,54935,54283,54517
United Arab Emirates,51348,49378,48311
Andorra,49451,49304,46812
New Zealand,49383,48747,48750
Malta,49277,42347,41676
France,48982,46150,44451
European Union[n 1],46805,43145,—N/a
U.S. Virgin Islands,—N/a,44321,—N/a
Italy,43161,40226,38672
Cyprus[n 2],42413,38654,37077
Guam,—N/a,41833,—N/a
Sint Maarten (Dutch part),—N/a,40028,39237
Puerto Rico,39854,39285,36367
Bahamas,39726,39355,35896
Aruba,39606,33985,33802
British Virgin Islands,—N/a,—N/a,38627
Spain,38040,35298,33814
Slovenia,37178,34089,32642
Brunei,37020,33418,32963
South Korea,35962,33121,35538
Saudi Arabia,35231,32094,32094
Czech Republic,35161,31707,31750
Japan,34713,32476,33806
Taiwan[n 3],34426,—N/a,—N/a
Estonia,34041,31170,30201
New Caledonia,—N/a,33516,34981
Lithuania,32982,29386,27956
Portugal,31415,28844,27718
Guyana,31378,29884,20189
Kuwait,30805,33730,33832
Turks and Caicos Islands,—N/a,30349,30349
Bahrain,29253,30048,28453
Anguilla,—N/a,—N/a,28850
Slovakia,28524,26148,24086
Poland,28485,25023,20876
Greece,27170,24752,23772
Croatia,26958,23932,21661
Barbados,25927,25365,23804
Hungary,25916,23310,21954
Cook Islands,—N/a,—N/a,25750
Latvia,25630,23367,22444
Uruguay,24380,23907,22796
Northern Mariana Islands,—N/a,23786,—N/a
French Polynesia,—N/a,22774,22759
Romania,22436,20072,18348
Antigua and Barbuda,22314,23726,21787
Curaçao,—N/a,22192,17697
Saint Kitts and Nevis,22158,22771,22625
Seychelles,21956,17859,16735
Saint Martin (French part),—N/a,21668,—N/a
Bulgaria,20426,17412,15068
Panama,19802,19103,18701
Palau,19456,15899,15899
Oman,19119,20248,20972
Costa Rica,19104,18587,16942
Maldives,18684,13215,12530
Cuba,—N/a,—N/a,18329
Turkey,18198,15473,12814
Montserrat,—N/a,—N/a,18197
Trinidad and Tobago,18121,19315,16960
American Samoa,—N/a,18018,—N/a
Russia,17446,14889,13809
Chile,17181,16710,17068
Serbia,15322,13524,11101
Montenegro,14986,12936,11885
Kazakhstan,14723,14005,13000
Saint Lucia,14647,14182,13555
Argentina,14359,13858,14187
Nauru,14274,13422,14812
World,14217,13673,13097
Mexico,13967,14157,13826
Malaysia,13901,11867,11377
China[n 4],13806,13303,12509
Mauritius,13099,11872,11304
Grenada,12544,11872,11246
Dominican Republic,11919,10876,10718
Saint Vincent and the Grenadines,11132,11501,10767
Albania,11108,10012,8172
Turkmenistan,10801,8572,8132
Brazil,10578,10280,10378
North Macedonia,10378,9310,8606
Georgia[n 5],10126,8284,9194
Dominica,9944,10405,9786
Bosnia and Herzegovina,9648,8957,8639
Belarus,9435,8316,7883
Gabon,9303,8219,8071
Peru,9256,8452,7907
Armenia,8969,8501,8228
Jamaica,8405,7020,6840
Marshall Islands,8287,7467,6952
Colombia,8249,7914,6948
Moldova[n 6],8239,7618,5393
Equatorial Guinea,8229,6745,6558
Kosovo,8033,7299,6157
Thailand,7942,7345,7182
Belize,7897,8430,7489
Azerbaijan,7365,7284,7012
Ecuador,7210,6875,6610
Mongolia,7005,6692,5790
Botswana,6943,7695,7820
Libya,6866,6318,6027
Suriname,6843,7431,5976
Fiji,6825,6288,5889
Paraguay,6799,6416,6276
South Africa,6667,6253,5976
Guatemala,6478,6150,5763
Ukraine[n 7],6382,5390,4737
Algeria,6095,5631,5364
Tonga,5921,4864,4859
Samoa,5887,4899,4765
Iraq,5832,6074,5149
Tuvalu,5830,6345,6880
El Salvador,5744,5580,5391
Cape Verde,5671,5273,4961
Lebanon,"5,282 (2024)",3478,4757
Micronesia,5241,4166,4084
Indonesia,5074,4925,4876
Jordan,4908,4456,4442
Namibia,4816,4413,4168
Morocco,4763,3993,3830
Tunisia,4752,4350,3979
Vietnam,4745,4717,4282
Bolivia,4585,4001,3686
Eswatini,4410,3936,3717
Djibouti,4369,3497,3469
Sri Lanka,"4,325 (2024)",4516,3673
Philippines,4321,3985,3805
Bhutan,4285,3839,3839
Iran,4074,4771,4432
São Tomé and Príncipe,4061,3245,2963
Uzbekistan,3647,3162,2549
Honduras,3637,3426,3232
Ghana,3193,2405,2260
Egypt,3191,3339,2895
Vanuatu,3133,3543,3492
Venezuela,3103,—N/a,4925
Ivory Coast,3016,2710,2528
Nicaragua,2953,2848,2613
Angola,2931,2122,2464
India,2818,2697,2487
Cambodia,2812,2627,2458
Kyrgyzstan,2790,2419,1977
Bangladesh,2734,2593,2464
Zimbabwe,2656,2656,1858
Mauritania,2582,2121,2121
Papua New Guinea,2555,3076,2986
Kenya,2549,2206,1952
Kiribati,2481,2288,2178
Haiti,2461,2142,1705
Palestine[n 8],"2,443 (2024)",2592,3640
Congo,2420,2482,2291
Solomon Islands,2386,2149,2042
Laos,2174,2124,1958
Cameroon,2027,1762,1737
Senegal,1921,1744,1682
Comoros,1773,1784,1703
Guinea,1741,1717,1597
Pakistan,1707,1484,1212
Tajikistan,1644,1341,1161
Benin,1635,1485,1394
Nepal,1535,1447,1363
Timor-Leste,1508,1343,1503
Uganda,1353,1072,1049
Zambia,1353,1235,1331
Tanzania[n 9],1302,1185,1209
Zanzibar,—N/a,1225,1374
Guinea-Bissau,1225,963,855
Nigeria,1200,807,1646
Chad,1139,1016,913
Togo,1120,1043,997
Burkina Faso,1115,987,883
Myanmar,1097,1359,1147
Rwanda,1043,1000,1010
Mali,1014,1086,833
Lesotho,1001,972,916
Ethiopia,994,1011,1241
Sierra Leone,980,873,758
Liberia,904,846,917
Gambia,890,909,890
Syria,—N/a,847,1230
Niger,789,723,643
DR Congo,772,647,655
Somalia,763,637,597
Sudan,712,989,680
Mozambique,690,647,623
Eritrea,—N/a,—N/a,656
North Korea,—N/a,—N/a,640
Malawi,622,602,509
Madagascar,616,545,598
Central African Republic,599,516,496
Burundi,486,154,289
Yemen,—N/a,433,222
Afghanistan,417 (2024),414,396
South Sudan,313,—N/a,403
"Notes: Data unavailable for the Falkland Islands, Gibraltar, Guernsey, the Holy See (Vatican City), Jersey, Niue, the Pitcairn Islands, Saint Helena, Ascension and Tristan da Cunha, Tokelau, and Western Sahara. Nearly all country links in the table (except that of Zanzibar) take to articles titled ""Income in country or territory"" or to ""Economy of country or territory"".","Notes: Data unavailable for the Falkland Islands, Gibraltar, Guernsey, the Holy See (Vatican City), Jersey, Niue, the Pitcairn Islands, Saint Helena, Ascension and Tristan da Cunha, Tokelau, and Western Sahara. Nearly all country links in the table (except that of Zanzibar) take to articles titled ""Income in country or territory"" or to ""Economy of country or territory"".","Notes: Data unavailable for the Falkland Islands, Gibraltar, Guernsey, the Holy See (Vatican City), Jersey, Niue, the Pitcairn Islands, Saint Helena, Ascension and Tristan da Cunha, Tokelau, and Western Sahara. Nearly all country links in the table (except that of Zanzibar) take to articles titled ""Income in country or territory"" or to ""Economy of country or territory"".","Notes: Data unavailable for the Falkland Islands, Gibraltar, Guernsey, the Holy See (Vatican City), Jersey, Niue, the Pitcairn Islands, Saint Helena, Ascension and Tristan da Cunha, Tokelau, and Western Sahara. Nearly all country links in the table (except that of Zanzibar) take to articles titled ""Income in country or territory"" or to ""Economy of country or territory""."
